Date,Item,Price,keyword_score,heuristic_score,Relevance_Weight
2025-08-31,Airpods Max USB-C Apple care till 11/2026 S$520 Like new,S$520,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-17,Buyer Protection Apple AirPods Max - Space Gray - Brand New S$550 Like new,S$550,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-23,Buyer Protection Apple AirPods Max - Space Grey S$380 Like new,S$380,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-22,Buyer Protection Apple AirPods Max - Space Gray S$400 Like new,S$400,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-28,Apple AirPods Max - Space Gray (Lightning Series) S$350 Like new,S$350,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-25,AirPods Pro Max S$375 Like new,S$375,0.3666666666666666,0.3666666666666666,0.3666666666666666
2025-08-09,Buyer Protection Apple AirPods Max - Space Gray /USB C S$650 Like new,S$650,0.29999999999999993,0.29999999999999993,0.29999999999999993
2025-09-03,Buyer Protection Apple AirPods Max - Black - AppleCare+2027 S$600 Like new,S$600,0.29999999999999993,0.29999999999999993,0.29999999999999993
2025-08-30,Buyer Protection Apple AirPods Max - Space Grey Gen2 S$600 Like new,S$600,0.29999999999999993,0.29999999999999993,0.29999999999999993
2025-08-25,Buyer Protection Apple AirPods Max Cover - Pink S$5 S$7 Like new Free delivery,S$5,0.29999999999999993,0.29999999999999993,0.29999999999999993
2025-08-13,Buyer Protection Apple AirPods Max - Space Gray with warranty S$550 Like new,S$550,0.29999999999999993,0.29999999999999993,0.29999999999999993
2025-08-14,Buyer Protection Apple AirPods Max USB-C Midnight with AppleCare+ S$630 Like new,S$630,0.29999999999999993,0.29999999999999993,0.29999999999999993
2025-08-21,Buyer Protection AirPods Max S$550 Like new,S$550,0.2666666666666666,0.2666666666666666,0.2666666666666666
2025-08-23,Buyer Protection Apple AirPods Max - Space Gray S$499 Like new Free delivery,S$499,0.19999999999999996,0.19999999999999996,0.19999999999999996
2025-08-12,Buyer Protection Airpods Max Gen 2 (Type C) S$650 Like new,S$650,0.06666666666666654,0.06666666666666654,0.06666666666666654
2025-08-10,"Buyer Protection AirPods Max ,Type C S$510 S$520 Like new",S$510,0.06666666666666654,0.06666666666666654,0.06666666666666654
2025-08-22,Buyer Protection Apple  airpod max S$540 S$590 Like new,S$540,0.06666666666666654,0.06666666666666654,0.06666666666666654
2025-08-29,Buyer Protection Apple Airpod Max w/ Charging Case + Protective Case (Midnight) S$650 Like new,S$650,0.0,0.0,0.0
2025-09-03,BEST RATES BUYBACK! Apple | Buying / Selling / Trade WTS Sell Device | WTB Buy iphone phone ipad tablet mac macbook laptop computer smart watch earphone airpods pencil magic keyboard mini air gen 1 2 pro max 3 4 5 6 7 8 9 10 X 11 12 13 14 15 16 17 S$888 Like new,S$888,0.0,0.0,0.0
2025-08-27,Buyer Protection AirPod Max (Lightning) - Blue S$450 Like new,S$450,0.0,0.0,0.0
2025-08-26,Buyer Protection AirPod max S$150 Like new,S$150,0.0,0.0,0.0
2025-08-22,Buyer Protection AIRPODS MAX 36094 S$359 Like new Free delivery,S$359,0.0,0.0,0.0
2025-08-18,Buyer Protection 💐 APPLE WARRANTY 2026💐 AirPods Max Purple Type C (USB-C)💐 AirPods Max Purple💐 AirPods Max 2024💐 AirPods Max Purple💐 A3184💐 S$488 Like new,S$488,0.0,0.0,0.0
2025-08-14,Buyer Protection 🌈 1 week used🌈 AirPods Max Midnight 2024🌈 AirPods Max 2024🌈  AirPods Max USB-C🌈  AirPods Max Type C🌈  AirPods Max Version 2🌈 AirPods Max (USB-C)🌈 AirPods Max lighting version🌈 AirPods Max black🌈 AirPods Max space gray(Model: A3184) S$498 Like new,S$498,0.0,0.0,0.0
2025-08-12,Buyer Protection 🌈 JAN-26 APPLE WARRANTY🌈 AirPods Max White🌈 AirPods Max Silver Lighting version🌈 AirPods Max Version 1🌈 A2096🌈 S$398 Like new,S$398,0.0,0.0,0.0
